id,brand,discount,discount_numeric,discount_type,ongoing_discount,min_spend,coupon,category,validity,validity_code,valid_days,title,url,image,description
teaser-f3b740d601,עולם הקולנוע והחשמל,₪200 הנחה,200,fixed_discount,,2000 ₪,MASTERCARDAY,חשמל וטכנולוגיה,10 בחודש בלבד,only_10th,[10],200 ₪  הנחה בקניה מעל 2000 ₪  באתר ובסניפי עולם הקולנוע והחשמל,https://www.cwc.co.il/,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/Olam%20sep%20.png,"תקף ב- 10 בחודש בלבד באתר ובסניפי עולם הקולנוע והחשמל. *לא כולל סלולר ,קונסולות ומצלמות דיגיטליות. כולל כפל מבצעים, לא כולל כפל קופונים והטבות. . מתן ההטבה וטיב המוצרים ו\או השירותים באחריות בית העסק בלבד. בכפוף לתקנון המלא. קוד קופון לאתר: MASTERCARDAY קוד קופון לסניפים: MASTERCARDCWC לתקנון"
teaser-66f0b4c242,דומינו'ס,מחיר מבצע: ₪130,130,special_price,,,MDAY130,קולינריה ומסעדות,10 בחודש בלבד,only_10th,[10],2 פיצות משפחתיות ומוצר נלווה ב-130 ₪ בדומינו'ס,https://www.dominos.co.il/?deepLinkCouponId=MDAY10,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/dominos-promo-image_1280x720.jpg,תקף ב10 בחודש בלבד. תקף על הזמנת משלוח בלבד (לא כולל תוספות ודמי משלוח) . בהזנת קוד קופון MDAY130 באתר או באפליקציית דומינו'ס. תקף ב-10 בחודש בלבד. בכפוף לתקנון המלא קוד קופון: MDAY130 לתקנון
teaser-fca9787953,Hollandia,1+1 מתנה,100,one_plus_one,,,MASTERCARDAY,לבית ולמשפחה,10-11 בחודש,10_11th,"[10, 11]",1+1 על כרית טמפור Prima Smart Cool באתר ובסניפי Hollandia,https://shorturl.at/LuiUY,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/Hollandia%20sep.png,תקף ב-10 וב-11 בחודש בלבד באתר ובחנויות Hollandia. לא כולל כפל הנחות ומבצעים למועדוני לקוחות. בלעדי למשלמים בכרטיס אשראי מאסטרקארד. מתן ההטבה וטיב המוצרים ו\או השירותים באחריות בית העסק בלבד. בכפוף לתקנון המלא. מימוש ההטבה בלחיצה על הלינק היעודי לתקנון
teaser-f04218b4fc,Golda,מחיר מבצע: ₪84,84,special_price,,,MASTERCARDAY,קולינריה ומסעדות,10 בחודש בלבד,only_10th,[10],₪84 על קילו גלידה + 2 רטבים מתנה באפליקציית Golda,https://golda.onelink.me/GnbO/lo069g4w,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/Golda%20.jpg,המבצע תקף ב- 10 לכל חודש בלבד החל משעה 9 בבוקר. תקף למזמינים באפליקציית Golda. לא כולל כפל קופונים. רטבים מתנה - שוקולד חלב + שוקולד לבן. לא כולל הזמנות עתידיות מחוץ לטווח היממה של ה-10 בחודש. אפשרות לאיסוף מהסניפים או משלוח בתוספת דמי משלוח. מתן ההטבה וטיב המוצרים ו\או השירותים באחריות בית העסק בלבד. בכפוף לתקנון המלא. קוד קופון: MASTERCARDAY לתקנון
teaser-95897480be,Bits of Gold,עד ₪50 הנחה,50,fixed_discount,,,MASTERCARDAY,צרכנות ופנאי,10 בחודש בלבד,only_10th,[10],עד ₪50 הנחה מעמלת הבסיס ברכישת מטבעות דיגיטליים ב bits of gold,https://www.bitsofgold.co.il/,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/bits-of-gold-promo-image_1280x720.jpg,"ברכישת מטבעות ב-₪1,000 ומעלה בכרטיס אשראי. תקף ב-10 בחודש בלבד ובכפוף לתקנון המלא. החברה רשאית לשנות ו\או להפסיק את ההטבה בכל עת. ט.ל.ח. קוד קופון: MASTERCARDAY לתקנון"
teaser-7cbd25f21d,TerminalX,₪50 הנחה,50,fixed_discount,₪50 הנחה,₪250,MASTERCARDAY10,אופנה ולייף סטייל,10 בחודש בלבד,only_10th,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",₪50 הנחה ברכישת ₪250 ומעלה באתר TerminalX,https://www.terminalx.com/women,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/terminal-x-promo-image_1280x720.jpg,"המבצע תקף ב- 10 בחודש בלבד ובכפוף לתקנון המלא. כולל כפל מבצעים, לא כולל כפל קופונים. קוד קופון: MASTERCARDAY10 לתקנון"
teaser-40e9f8cc7d,מקדונלד'ס,50% הנחה,50,percent,,,MASTERCARDAY,קולינריה ומסעדות,10 בחודש בלבד,only_10th,[10],50% הנחה על מגוון* ארוחות במקדונלד'ס,,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/mcdonalds-promo-image_1280x720.jpg,"מלאי ההטבות מוגבל. תקף למימוש ארוחה אחת ללקוח. תקף ב-10 בחודש עד השעה 19:00. תקף על ארוחות מבין האפשרויות: מק צ'יקן \ 5 מק נאגטס\ דאבל צ'יז בורגר\ביג מק\ דאבל מיני רויאל בלחמנייה ללא גלוטן עם צ'יפס ושתייה בגודל רגיל. לא תקף בתפריט לילה, במשלוחים ובנתב""ג. כל שינוי/החלפה/תוספת כרוכים בתשלום עפ""י מחירון הרשת. בכפוף לתקנון המלא באתר מאסטרקארד דיי. בלחיצה על באנר המבצע ובתשלום בארנק הדיגיטלי בעמדתמק טאצ' לתקנון"
teaser-a9c37d992b,קפה עלית,₪50 הנחה,50,fixed_discount,,₪250,MASTERCARDAY,קולינריה ומסעדות,10 בחודש בלבד,only_10th,[10],₪50 הנחה בקנייה מעל ₪250 באתר קפה עלית,https://www.elite-coffee.co.il/,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/elit-promo-image_1280x720.jpg,"כולל כפל מבצעים לא כולל כפל קופונים והטבות. תקף על קפסולות ופולי קפה. תקף ב-10 בחודש בלבד, באתר קפה עלית. תקף על קפסולות ופולי קפה בלבד. תקף למשלמים בכרטיס אשראי מאסטרקארד. מתן ההטבה וטיב המוצרים ו\או השירותים באחריות בית העסק בלבד. בכפוף לתקנון המלא. קוד קופון: MASTERCARDAY לתקנון"
teaser-c58e33e314,BUG,עד 30% הנחה,30,percent,,,MASTERCARDAY,חשמל וטכנולוגיה,10 בחודש בלבד,only_10th,[10],עד 30% הנחה על מגוון מוצרים באתר BUG,https://www.bug.co.il/mastercardday,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/bug-promo-image_1280x720.jpg,על מוצרים המופיעים בלינק הייעודי בלבד. תקף ב-10 בחודש החל מהשעה 10:00. לרוכשים בכרטיס מאסטרקארד בלבד. מוגבל לרכישה אחת ללקוח. בכפוף לתקנון המלא באתר מאסטרקארד דיי. קוד קופון: MASTERCARDAY לתקנון
teaser-09c9b3ec10,דרך היין,₪30 הנחה,30,fixed_discount,,₪200,MASTERCARDAY10,קולינריה ומסעדות,10 בחודש בלבד,only_10th,[10],₪30 הנחה בקנייה מעל ₪200 באתר דרך היין*,https://www.wineroute.co.il/product-category/יין/,https://www.mastercard.com/content/dam/mccom/eu/israel/mastercard-day/Winerouth-promo-image_1280x720.jpg,"*תקף על קטגוריית היין בלבד. משלוחים חינם מעל 300 ש”ח לכל הארץ. תקף ב-10 בחודש בלבד. תקף על כל האתר בלבד. ההנחה תינתן ברכישת 200 ש”ח ומעלה (לא כולל עלות המשלוח, על קטגוריית היין בלבד). לא כולל כפל הנחות וקופונים. מתן ההטבה וטיב המוצרים ו\או השירותים באחריות בית העסק בלבד. בכפוף לתקנון המלא. קוד קופון: MASTERCARDAY10 לתקנון"
